lhb,cluster,practice,practice_code,Asthma ,Atrial fibrillation ,Cancer ,Chronic obstructive pulmonary disease ,Secondary prevention of coronary heart disease ,Dementia ,Diabetes mellitus (patients aged 17+) ,Epilepsy (patients aged 18+) ,Heart failure ,Hypertension ,Learning disability ,Mental health ,Obesity (patients aged 16+) ,Osteoporosis (patients aged 50+) ,Palliative care ,Rheumatoid Arthritis (patients aged 16+) ,Stroke and transient ischaemic attack 
Betsi Cadwaladr University Health Board ,North & West Wrexham ,Alyn Family Doctors ,W91025 ,8.080019,3.149176,5.821677,2.102055,3.789951,0.742361,7.395507,0.861235,1.015863,19.973431,0.242244,0.742361,15.680411,0.16218,0.101586,0.881443,2.406814
Betsi Cadwaladr University Health Board ,North & West Wrexham ,Coedpoeth Health Centre ,W91056 ,5.189094,2.066843,4.353562,2.198769,3.605981,0.395778,8.25871,0.578673,1.055409,14.643799,0.659631,1.055409,16.107533,0.10142,0.57168,1.025958,1.539138
Betsi Cadwaladr University Health Board ,Central Wrexham ,,,6.87681,2.263254,3.369771,2.274972,3.234176,1.031187,7.660854,0.824157,1.305723,16.214406,0.552421,1.43797,15.541574,0.383108,0.413479,0.826658,2.124312
Betsi Cadwaladr University Health Board ,Central Wrexham ,Strathmore Medical Practice ,W91004 ,7.111715,3.144879,4.016868,2.444429,4.045458,1.365163,8.348195,0.976042,1.736831,20.012865,0.643271,1.422343,15.328298,0.591054,0.464584,1.084074,2.794654
Betsi Cadwaladr University Health Board ,Central Wrexham ,Plas y Bryn Medical Centre ,W91022 ,7.033918,2.117004,3.315881,2.352227,3.148949,0.827073,7.547843,0.461147,1.229228,17.672054,0.402155,1.024357,17.360128,0.317649,0.379391,0.714559,2.117004
Betsi Cadwaladr University Health Board ,Central Wrexham ,St. George's Crescent Surgery ,W91030 ,6.681716,2.272385,3.912716,2.272385,3.03988,0.872837,7.772944,1.083654,1.294206,12.987208,0.436418,1.595184,14.785632,0.518962,0.240783,0.853716,2.136945
Betsi Cadwaladr University Health Board ,Central Wrexham ,Beechley Medical Centre ,W91042 ,5.664105,1.844127,2.963776,2.173436,2.766191,0.39517,6.814585,0.505414,0.746432,15.170143,0.570801,2.063666,15.144844,0.139179,0.175631,0.628757,1.778266
Betsi Cadwaladr University Health Board ,Central Wrexham ,Hillcrest Medical Centre ,W91058 ,7.219599,2.066116,3.25856,2.190083,3.099174,0.850059,7.479819,0.847898,1.20425,15.011806,0.560803,1.340024,14.949323,0.232919,0.560803,0.85013,1.818182
Betsi Cadwaladr University Health Board ,Central Wrexham ,Caia Park Surgery ,W91629 ,5.89564,1.084256,1.51344,1.942625,2.213689,2.168511,7.055202,1.312708,1.152022,10.390784,0.83578,2.213689,14.472408,0.38835,0.293653,0.337997,1.536029
Hywel Dda University Health Board ,Central Wrexham ,,,7.350938,3.223478,3.937684,2.367621,3.899232,0.814924,8.712269,0.984536,1.436846,17.030302,0.567098,1.058533,12.835633,0.433566,0.381042,1.150424,2.462138
Hywel Dda University Health Board ,Amman/Gwendraeth ,,,7.969534,3.118513,3.396368,2.626547,4.256084,0.900577,9.438406,1.127142,1.485707,16.422863,0.689734,1.099979,14.225635,0.453563,0.338329,1.13664,2.445124
Hywel Dda University Health Board ,Amman/Gwendraeth ,Amman Tawe Partnership ,W00142 ,7.921391,2.464097,3.567649,2.87226,4.368859,0.589569,9.496735,1.024585,1.874528,13.318216,0.710506,1.027967,12.030468,0.5923,0.453515,0.905909,2.66062
Hywel Dda University Health Board ,Amman/Gwendraeth ,Minafon Surgery ,W92003 ,8.912281,3.578947,4.385965,3.28655,4.690058,0.619883,9.65916,1.332457,2.093567,18.409357,0.619883,1.146199,19.297096,0.261531,0.362573,1.186869,2.725146
Hywel Dda University Health Board ,Amman/Gwendraeth ,Sarn Surgery ,W92013 ,8.825557,3.125718,2.757987,3.148701,4.20593,0.505631,9.087166,0.904145,1.562859,18.294645,0.367732,1.218111,20.988558,0.152672,0.275799,1.127826,2.229373
Hywel Dda University Health Board ,Amman/Gwendraeth ,Tumble Surgery ,W92035 ,6.957746,3.239437,1.901408,2.619718,3.985915,0.661972,9.438488,1.094916,1.873239,14.84507,1.169014,0.690141,13.83061,0.310559,0.239437,1.067804,2.535211
Hywel Dda University Health Board ,Amman/Gwendraeth ,Brynteg Surgery ,W92036 ,7.294778,3.321568,4.5796,3.077202,4.642954,1.294235,9.756346,1.194396,1.36664,17.449543,0.651643,1.158476,12.419791,1.421063,0.515884,1.293049,2.796633
Hywel Dda University Health Board ,Amman/Gwendraeth ,Margaret Street Practice ,W92040 ,9.203669,3.095685,2.52241,1.813634,3.804461,1.125704,9.359224,1.107895,0.875547,15.540963,0.854701,1.094434,9.14122,0.069638,0.271003,0.951689,2.168022
Hywel Dda University Health Board ,Amman/Gwendraeth ,Coalbrook Surgery ,W92046 ,6.739264,3.102527,1.54099,1.890281,5.403739,1.499897,9.67307,1.323256,0.986234,16.0263,0.47257,1.60263,15.807468,0.125052,0.143826,1.146529,2.403945
Hywel Dda University Health Board ,Amman/Gwendraeth ,Penygroes Surgery ,W92051 ,7.673623,2.848625,4.29502,2.285525,3.389643,0.728718,8.921745,0.97045,1.347024,17.047588,0.507894,1.037871,14.794389,0.17735,0.298112,1.315943,1.943248
Hywel Dda University Health Board ,Llanelli ,,,7.590601,2.923138,3.788132,2.371963,4.004779,0.917563,8.901602,1.17341,1.25687,16.755078,0.734369,1.08642,13.791875,0.724447,0.256472,0.991862,2.43409
Hywel Dda University Health Board ,Llanelli ,Ashgrove Medical Centre ,W00133 ,7.589965,2.977699,3.598581,2.470857,4.244805,1.507856,8.243371,1.093124,1.964014,15.965535,0.608211,1.406488,13.762645,0.32372,0.063355,0.790782,2.116067
Hywel Dda University Health Board ,Llanelli ,The Llwynhendy Health Centre ,W00134 ,7.829899,2.779483,3.559842,2.33231,4.077159,1.2363,10.248433,1.337572,1.28014,15.458132,0.780359,0.894345,17.944684,3.388257,0.201666,1.317041,2.507672
Hywel Dda University Health Board ,Llanelli ,Fairfield Surgery ,W92021 ,7.154658,2.46537,3.698056,1.86809,3.812429,0.609989,8.034638,1.362333,1.232685,15.148049,0.482908,1.054772,13.633528,0.062578,0.050832,0.79926,2.516203
Hywel Dda University Health Board ,Llanelli ,Tywyn Bach Surgery ,W92031 ,7.682992,3.242734,3.013994,3.363832,4.144241,0.995694,9.256416,0.998814,0.928418,16.657696,0.740043,0.968784,8.44974,0.338895,0.228741,0.989468,2.287406
Hywel Dda University Health Board ,Llanelli ,Avenue Villa Surgery ,W92037 ,7.650728,2.702703,3.160083,2.006237,3.794179,0.665281,7.633737,1.008897,1.288981,12.515593,0.467775,1.309771,12.108489,0.235973,0.363825,0.803883,2.349272
Hywel Dda University Health Board ,Llanelli ,Llangennech Surgery ,W92048 ,7.424426,3.409915,4.933495,1.958888,3.651753,0.556227,8.315023,0.921016,1.112455,18.258767,0.967352,0.918984,15.507109,0.159574,0.120919,0.945905,2.515115
Hywel Dda University Health Board ,Llanelli ,Ty Elli Group Practice ,W92052 ,7.599501,3.099431,4.611011,2.475385,4.090972,0.741922,9.532598,1.265636,1.053945,21.536541,1.012342,1.040078,14.192817,0.144974,0.499237,1.098799,2.614062
Hywel Dda University Health Board ,North Ceredigion ,,,6.392091,2.627149,3.720197,1.913366,3.200307,0.647732,6.782346,0.756626,1.732257,14.759338,0.39844,0.928984,11.186131,0.414079,0.351565,0.888801,1.924019
Hywel Dda University Health Board ,North Ceredigion ,Borth Medical Practice ,W92006 ,6.709386,3.731625,5.503204,2.186204,5.465511,0.82925,9.701983,0.748644,2.789295,20.768941,0.226159,1.356954,18.142691,0.137457,0.263852,0.902835,2.450057
Hywel Dda University Health Board ,North Ceredigion ,Church Surgery ,W92014 ,6.042105,2.673684,3.831579,1.842105,3.094737,0.610526,6.340002,0.7791,1.557895,13.305263,0.431579,1.4,8.641937,0.654308,0.284211,0.917301,2.042105
Hywel Dda University Health Board ,North Ceredigion ,Tanyfron Primary Care ,W92022 ,6.997649,3.540313,4.757295,2.710552,4.148804,0.788273,9.46494,0.865453,1.89462,19.23662,0.622321,0.829761,13.534584,0.149328,0.401051,1.054643,2.447794
Hywel Dda University Health Board ,North Ceredigion ,Meddygfa Padarn Surgery ,W92024 ,5.117399,1.143889,1.677131,0.799862,1.427711,0.232218,3.503694,0.611191,1.040681,7.233164,0.223617,0.627849,6.533304,0.503486,0.197815,0.430983,0.817064
Hywel Dda University Health Board ,North Ceredigion ,Ystwyth Medical Group ,W92025 ,7.400681,2.894438,3.972758,2.179342,3.314415,1.089671,7.044383,0.836632,1.418842,16.606129,0.442679,0.862656,13.564472,0.802998,0.431328,1.151326,2.031782
Hywel Dda University Health Board ,North Ceredigion ,Tregaron Surgery ,W92053 ,6.652186,3.258213,4.751561,2.280749,4.181374,0.515884,8.91535,0.872184,2.823785,20.390986,0.380125,0.92316,14.543524,0.146987,0.814553,1.454352,3.122455
Hywel Dda University Health Board ,North Ceredigion ,Llanilar Health Centre ,W92056 ,7.290755,3.38291,5.01604,2.916302,4.403616,0.729076,8.247533,0.62843,3.032954,19.422572,0.466608,0.699913,14.294864,0.10989,0.320793,0.750566,2.274716
Hywel Dda University Health Board ,North Pembrokeshire ,,,7.096971,3.101564,4.094239,2.595779,3.598628,0.731062,8.626468,0.935095,1.103134,17.016453,0.491251,0.976687,11.153313,0.317915,0.436021,1.305805,2.357421
Hywel Dda University Health Board ,North Pembrokeshire ,St Thomas Surgery ,W92002 ,6.206274,2.685624,3.30249,2.354623,2.843602,0.677048,8.123627,0.662597,0.842549,15.730084,0.443843,0.880162,10.12483,0.27416,0.383661,1.261067,2.061235
Hywel Dda University Health Board ,North Pembrokeshire ,Barlow House Surgery ,W92008 ,7.836922,3.049514,3.967647,3.344628,4.120669,0.808832,10.052611,1.247228,1.584873,18.89824,0.306044,0.994644,16.482108,0.832492,0.480927,1.43902,2.426495
Hywel Dda University Health Board ,North Pembrokeshire ,Fishguard Health Centre ,W92015 ,6.983328,3.627975,4.72895,2.432631,4.204677,0.891266,8.804152,0.983726,1.163888,19.880466,0.55573,0.838838,11.03218,0.162305,0.262137,1.67266,2.453602
Hywel Dda University Health Board ,North Pembrokeshire ,The Robert Street Surgery ,W92041 ,6.734817,2.730006,2.970535,2.128683,3.583885,0.637402,9.93893,1.126292,1.118461,11.870114,0.481058,1.058328,10.170857,0.167131,0.360794,1.02,2.549609
Hywel Dda University Health Board ,North Pembrokeshire ,Winch Lane Surgery ,W92042 ,6.752308,2.898457,3.769931,2.833904,3.324511,0.774643,7.978278,0.918215,0.968304,16.041573,0.548706,1.149054,8.869476,0.175541,0.464786,1.121428,2.220644
Hywel Dda University Health Board ,North Pembrokeshire ,St Davids Surgery ,W92058 ,8.213628,3.941068,5.3407,2.762431,3.904236,0.773481,8.399515,1.021584,0.589319,21.952118,1.399632,0.847145,6.948755,0.193673,0.589319,0.962779,2.173112
Hywel Dda University Health Board ,North Pembrokeshire ,Solva Surgery ,W92059 ,8.665431,4.263207,6.024096,2.409639,3.985171,0.787766,10.479358,0.607306,1.15848,21.640408,0.231696,0.926784,16.190812,0.086881,1.019462,1.619081,2.270621
Hywel Dda University Health Board ,North Pembrokeshire ,Newport Surgery ,W92064 ,8.08986,3.400442,5.622391,2.356985,3.866929,0.527866,7.150909,0.873491,1.313528,17.886079,0.368279,0.920697,12.439665,0.543864,0.491039,1.459241,2.79892
Hywel Dda University Health Board ,South Ceredigion ,,,7.80767,3.392096,3.657365,2.788454,4.288161,0.749854,8.69744,0.897584,1.374384,18.090484,0.417746,1.061074,11.680394,0.265241,0.484585,1.143229,2.571226
Hywel Dda University Health Board ,South Ceredigion ,New Quay Surgery ,W92005 ,6.658856,3.339192,0.898262,2.675259,3.88596,0.507713,9.424732,0.624529,1.269283,14.704159,0.07811,0.488186,8.689131,0.139762,0.058582,0.88249,2.069908
Hywel Dda University Health Board ,South Ceredigion ,Emlyn Surgery ,W92018 ,9.551174,3.586644,5.340335,3.140791,4.43872,0.911523,9.374829,1.066972,1.555534,21.3118,0.604379,1.208759,12.264416,0.146172,0.634103,1.113903,2.813831
Hywel Dda University Health Board ,South Ceredigion ,Llynyfran Surgery ,W92019 ,7.841963,3.541854,3.641624,2.663873,5.118228,0.768233,8.994964,1.06344,1.586351,18.058466,0.528784,1.007682,11.262801,0.292077,0.588646,1.328433,2.723735
Hywel Dda University Health Board ,South Ceredigion ,Bro Pedr Medical Group ,W92039 ,7.000737,2.849423,4.61803,2.538279,3.59453,0.761484,8.646963,0.799106,1.465651,17.874396,0.36846,1.162695,14.754685,0.445912,0.524032,1.173126,2.284451
Hywel Dda University Health Board ,South Ceredigion ,Cardigan Health Centre ,W92044 ,7.596394,3.721466,2.273163,2.915787,4.354498,0.68099,7.434595,0.821526,0.939958,16.91924,0.354882,1.131786,9.363793,0.222552,0.402839,1.085657,2.771916
Hywel Dda University Health Board ,South Pembrokeshire ,,,7.533155,3.891586,4.980433,2.375172,3.880716,0.954779,9.864584,0.943273,1.69034,19.389086,0.543518,1.148634,14.808987,0.524109,0.60874,1.45977,2.732082
Hywel Dda University Health Board ,South Pembrokeshire ,Argyle Medical Group ,W00067 ,7.263528,3.66916,4.707435,2.626485,3.559173,0.787505,10.476236,0.963012,1.610207,18.011439,0.549934,1.289045,16.414259,0.075379,0.426749,1.327043,2.463704
Hywel Dda University Health Board ,South Pembrokeshire ,Tenby Surgery ,W92027 ,7.342849,4.007686,5.201757,2.868515,4.090036,0.796047,8.579625,0.784164,1.715619,18.775734,0.329399,1.248971,13.838311,0.108814,0.576448,1.194331,2.470491
Hywel Dda University Health Board ,South Pembrokeshire ,Saundersfoot Medical Centre ,W92033 ,7.433451,4.751381,6.559518,1.808137,4.520342,1.567052,9.770829,0.993161,2.601708,23.214465,0.50226,1.054746,15.475236,1.913106,0.512305,2.015487,3.535912
Hywel Dda University Health Board ,South Pembrokeshire ,Narberth Surgery ,W92038 ,7.926622,3.816102,4.042577,1.540029,3.612275,0.871928,8.984117,0.878548,1.030461,20.22421,0.317065,0.939871,11.39438,0.424719,1.109727,1.134163,2.604462
Hywel Dda University Health Board ,South Pembrokeshire ,Neyland Health Centre ,W92440 ,8.3203,3.315608,4.535502,2.955896,4.16015,0.891461,10.600907,1.070601,1.438849,17.876134,1.141695,0.969659,14.018186,0.195122,0.750704,1.805795,2.908977
Hywel Dda University Health Board ,Taf / Tywi ,,,6.980676,3.500282,3.901356,1.852895,4.022341,0.770659,8.379797,0.994421,1.542975,16.715834,0.626471,1.097153,12.799736,0.349437,0.22374,1.081778,2.71305
Hywel Dda University Health Board ,Taf / Tywi ,Coach & Horses Surgery ,W92007 ,7.272978,3.947005,3.878002,1.435275,4.554237,0.703837,10.439696,0.974666,1.048855,17.181893,0.593431,1.297267,17.195016,0.496862,0.220811,1.212055,2.801546
Hywel Dda University Health Board ,Taf / Tywi ,Teilo Surgery ,W92009 ,6.438214,3.76947,5.617861,1.786085,3.987539,0.872274,7.856463,1.053837,1.100727,16.895119,0.758048,0.830737,14.270375,0.097485,0.155763,0.88517,2.606438
Hywel Dda University Health Board ,Taf / Tywi ,Furnace House Surgery ,W92016 ,7.047249,3.286039,2.931334,1.545978,3.741132,0.843261,8.51258,1.021045,1.405434,16.216035,0.374782,1.358587,9.882478,0.536593,0.294472,1.234308,2.730558
Hywel Dda University Health Board ,Taf / Tywi ,Taf Surgery ,W92023 ,8.045531,3.350149,3.996896,1.720347,4.695382,0.517397,8.523664,0.872085,1.461648,16.233346,0.400983,0.957185,11.46404,0.488809,0.168154,1.140322,2.793946
Hywel Dda University Health Board ,Taf / Tywi ,St Peter's Surgery ,W92050 ,7.79278,3.257998,4.417376,2.773701,3.712944,0.748459,7.96602,1.032004,2.700323,18.520693,0.572351,1.144702,11.121441,0.13708,0.10273,1.198507,2.494864
Hywel Dda University Health Board ,Taf / Tywi ,Llanfair Surgery ,W92055 ,6.154665,3.121674,3.4232,1.702731,3.866619,1.04647,8.093182,1.151017,1.347996,16.33558,1.791415,1.117418,12.122085,0.265164,0.532104,0.81906,2.837886
Hywel Dda University Health Board ,Taf / Tywi ,Tywi Surgery ,W92063 ,6.168009,4.556962,4.464902,2.761795,4.257768,0.621404,8.194543,0.49361,2.324511,17.468354,0.391254,0.644419,15.682701,0.339992,0,1.127865,3.130035
Hywel Dda University Health Board ,Taf / Tywi ,Morfa Lane Surgery ,W92616 ,6.112224,2.930862,2.42986,1.828657,3.381764,0.676353,6.413037,1.291993,1.628257,14.87976,0.450902,1.052104,15.138591,0.244051,0.250501,0.780959,2.329659
Swansea Bay University Health Board ,Taf / Tywi ,,,7.04338,2.499839,3.281859,2.199215,3.279383,0.726798,7.837491,1.022261,1.483312,14.623625,0.52374,1.25351,12.196886,0.604433,0.237974,0.852726,2.170489
Swansea Bay University Health Board ,Afan ,,,7.832359,2.624546,3.428422,2.830947,3.793426,0.997241,9.341749,1.24605,1.720729,17.06607,0.608339,1.653377,14.064219,0.568686,0.325896,1.033632,2.2074
Swansea Bay University Health Board ,Afan ,Rosedale Medical Practice ,W00141 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Swansea Bay University Health Board ,Afan ,Afan Valley Group Practice ,W98017 ,10.645161,3.548387,3.154122,3.548387,4.265233,1.827957,10.049555,1.134177,2.043011,23.90681,0.573477,1.577061,19.150114,1.515152,0.645161,1.066265,3.154122
Swansea Bay University Health Board ,Afan ,Cwmafan Health Centre ,W98019 ,8.973869,2.383684,2.90631,3.62014,4.104525,0.688337,9.5791,1.400046,1.51689,17.09369,0.662843,1.924793,17.672692,0.580507,0.344168,1.131672,2.307202
Swansea Bay University Health Board ,Afan ,Mount Surgery ,W98031 ,7.360123,2.836089,3.949961,2.056379,3.821438,1.550853,9.490307,1.199286,1.885014,16.648102,0.63405,1.585126,11.843696,0.870445,0.325593,0.903942,2.356268
Swansea Bay University Health Board ,Afan ,Fairfield Surgery ,W98032 ,7.903822,2.589396,3.070284,2.416769,3.637485,0.690506,8.934829,1.370233,1.639951,17.139334,0.54254,1.726264,12.037855,0.14573,0.493218,0.792737,1.738594
Swansea Bay University Health Board ,Afan ,Riverside Surgery ,W98035 ,7.877654,2.794587,4.224887,2.981626,3.410716,0.814171,8.686443,1.2841,1.705358,15.865332,0.638134,1.551326,12.813871,0.556291,0.165035,1.078923,2.04643
Swansea Bay University Health Board ,Afan ,King's Surgery ,W98041 ,5.949095,1.947255,2.575897,3.265869,3.894511,0.659307,9.92241,0.978025,1.655934,16.436676,0.551978,1.533272,15.887562,0.080192,0.183993,1.385654,2.223244
Swansea Bay University Health Board ,Afan ,Cwmavon Health Centre ,W98627 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Swansea Bay University Health Board ,BayHealth ,,,6.384958,2.670335,3.879717,1.360063,2.752883,0.742925,5.348586,0.647389,1.306342,12.810535,0.28695,1.083595,8.512719,0.612596,0.265985,0.671102,2.041405
Swansea Bay University Health Board ,BayHealth ,St Thomas Surgery ,W98016 ,7.850921,3.462344,4.168045,2.337634,3.307972,0.650568,7.017346,0.87252,1.499614,16.098798,0.35285,1.080604,12.166794,0.430707,0.35285,0.799757,2.315581
Swansea Bay University Health Board ,BayHealth ,Sketty & Killay Medical Centres ,W98021 ,7.298392,2.78755,4.662243,1.17558,3.036915,0.690208,6.022873,0.851156,1.358151,12.454914,0.414125,1.237921,7.066021,0.484525,0.213742,0.598546,2.052812
Swansea Bay University Health Board ,BayHealth ,The Grove Medical Centre ,W98023 ,5.866636,1.672862,3.438662,1.812268,2.497677,0.313662,5.390382,0.687771,1.103625,11.33829,0.255576,1.568309,11.569046,0.38656,0.302045,0.809303,1.719331
Swansea Bay University Health Board ,BayHealth ,The Mumbles Medical Practice ,W98033 ,6.653747,3.863049,5.387597,1.757106,3.527132,1.24031,6.138555,0.622945,1.692506,18.100775,0.310078,1.072351,8.76114,1.350722,0.232558,1.072793,2.868217
Swansea Bay University Health Board ,BayHealth ,Gower Medical Practice ,W98045 ,5.953676,3.901757,4.414737,1.290222,3.808487,1.336857,6.207085,0.363319,1.616664,16.943883,0.139904,0.963781,8.682073,0.685307,0.637339,0.797333,2.813617
Swansea Bay University Health Board ,BayHealth ,Uplands Surgery ,W98049 ,5.25618,2.329766,3.115825,1.231177,2.320295,0.928118,4.951366,0.52464,1.335354,12.747419,0.246235,1.145942,7.183762,0.408719,0.123118,0.691604,2.159295
Swansea Bay University Health Board ,BayHealth ,University Health Centre ,W98053 ,3.431116,0.052383,0.091671,0,0.091671,0.026192,0.820506,0.251687,0.052383,0.838135,0.013096,0.22263,5.874064,0,0,0.066903,0.039288
Swansea Bay University Health Board ,BayHealth ,Kings Road Surgery ,W98055 ,7.9099,4.033525,5.31692,1.492928,3.509691,1.152436,5.689857,0.615285,2.12153,16.841278,0.314301,0.864327,10.142638,0.760095,0.654793,0.752421,2.750131
Swansea Bay University Health Board ,CityHealth ,,,6.374651,1.770242,2.426744,2.508584,2.912449,0.526625,7.649527,1.013577,1.277421,12.354333,0.501717,1.476684,11.909005,0.29647,0.238404,0.607624,1.926806
Swansea Bay University Health Board ,CityHealth ,Mountain View Health Centre ,W98015 ,7.677068,1.254747,2.063728,3.797259,2.559023,0.363216,7.51736,1.496335,1.155688,10.599307,0.742942,1.799571,13.026357,0.420673,0.099059,0.822262,1.518904
Swansea Bay University Health Board ,CityHealth ,Nicholl St Medical Centre ,W98020 ,5.819838,2.353239,3.415992,2.049595,4.37753,0.581984,9.897413,0.943841,2.074899,12.474696,0.27834,1.012146,10.636125,0.052138,0.177126,0.549148,2.960526
Swansea Bay University Health Board ,CityHealth ,Brunswick Health Centre ,W98024 ,7.782981,2.632004,4.085258,2.971096,3.746165,1.114161,8.77945,0.893276,1.566285,16.51865,0.613596,1.420959,11.262168,0.683891,0.290651,0.859137,2.745035
Swansea Bay University Health Board ,CityHealth ,Kingsway Surgery ,W98027 ,5.744403,1.528027,2.165387,2.042817,2.590293,0.261481,6.356541,1.092739,1.168492,9.919922,0.465762,1.60974,9.146072,0,0.228796,0.521279,2.083674
Swansea Bay University Health Board ,CityHealth ,Greenhill Medical Centre ,W98039 ,6.110434,1.542834,2.436054,2.314251,3.085668,0.203004,7.700608,0.964149,1.36013,13.032887,0.44661,1.238327,18.402151,0.504414,0.142103,0.570417,1.684937
Swansea Bay University Health Board ,CityHealth ,Harbourside Health Centre ,W98056 ,6.159989,1.953515,2.252959,2.22444,2.395551,0.869813,6.232161,0.882301,0.998146,12.918865,0.313703,0.827036,11.844855,0.101574,0.442036,0.540707,1.340368
Swansea Bay University Health Board ,CityHealth ,SA1 Medical Centre ,W98057 ,6.843718,1.543525,2.133697,2.485529,2.67847,0.715015,7.937568,0.813573,1.123596,11.167858,0.488026,1.327886,13.776557,0.506329,0.249688,0.645562,1.713767
Swansea Bay University Health Board ,CityHealth ,Abertawe Medical Partnership ,W98608 ,5.230155,1.80989,1.710133,2.508194,2.907225,0.228018,8.717823,1.052483,1.282599,14.821149,0.627049,2.280177,10.655152,0.215239,0.213767,0.448813,1.724384
Swansea Bay University Health Board ,Cwmtawe ,,,6.248408,2.565112,3.345295,1.951615,3.317514,0.743142,8.84213,1.082649,1.317282,14.068758,0.588031,1.166802,11.999313,0.492696,0.189837,0.845298,2.271096
Swansea Bay University Health Board ,Cwmtawe ,Llansamlet Surgery ,W98005 ,6.58024,2.091927,3.034767,1.905323,2.74013,0.540169,8.456119,1.003051,1.276763,14.33903,0.530348,0.834807,9.214978,0.186866,0.176783,0.522749,1.974072
Swansea Bay University Health Board ,Cwmtawe ,Cwmtawe Medical Group ,W98022 ,5.957513,2.745738,3.405958,1.856383,3.479747,0.819449,8.925281,1.072886,1.238883,13.491786,0.664103,1.184512,12.290737,0.521076,0.209717,0.967002,2.357373
Swansea Bay University Health Board ,Cwmtawe ,Strawberry Place Surgery ,W98044 ,6.814427,2.588106,3.565529,2.354075,3.551762,0.757159,9.069095,1.223177,1.651982,15.735132,0.399229,1.569383,14.733531,0.776502,0.137665,0.853167,2.381608
Swansea Bay University Health Board ,Llwchwr ,,,7.83232,2.861112,3.410784,1.864455,3.410784,0.702694,7.883128,1.021664,1.689284,15.660613,0.509403,1.016792,10.518961,0.772643,0.203358,0.891149,2.275198
Swansea Bay University Health Board ,Llwchwr ,Princess Street Surgery ,W98008 ,8.949065,2.514507,4.113475,2.321083,3.675048,0.618956,7.643916,1.030541,1.882656,20.438427,0.528691,0.889749,12.871495,0.6035,0.309478,1.017388,2.088975
Swansea Bay University Health Board ,Llwchwr ,Estuary Group Practice ,W98012 ,7.26601,3.039409,4.192118,1.778325,3.433498,0.660099,8.020319,1.001118,1.73399,14.862069,0.507389,1.123153,9.371825,0.450653,0.167488,0.993625,2.315271
Swansea Bay University Health Board ,Llwchwr ,Talybont Surgery ,W98013 ,7.165862,2.848229,1.469404,1.549919,3.119968,0.714573,7.413318,0.99924,1.107085,13.657407,0.372383,1.016506,8.683008,0.221948,0.060386,0.628132,2.063205
Swansea Bay University Health Board ,Llwchwr ,Ty'r Felin Surgery ,W98034 ,8.642398,2.792291,3.237687,1.978587,3.443255,0.82227,8.199535,1.071148,1.978587,15.5803,0.616702,0.916488,12.521117,1.969504,0.316916,0.846586,2.509636
Swansea Bay University Health Board ,Neath ,,,7.686358,2.60885,3.089046,2.363918,3.372651,0.709014,8.36976,1.129922,1.337459,14.789391,0.607496,1.235941,14.463421,0.840114,0.249766,1.013692,2.188275
Swansea Bay University Health Board ,Neath ,Waterside Medical Practice ,W00144 ,7.201693,1.753193,1.775863,2.463538,2.818711,0.309831,7.76793,0.996673,1.027734,10.292451,0.528981,1.556714,8.172327,0.140534,0.12091,0.668811,1.51893
Swansea Bay University Health Board ,Neath ,Dyfed Road Health Centre ,W98002 ,8.495809,3.155317,3.965339,2.354714,3.645097,0.612226,8.778975,1.307419,1.629462,19.120279,0.593388,1.036074,15.285713,0.477872,0.150702,1.018302,2.401808
Swansea Bay University Health Board ,Neath ,Castle Surgery ,W98006 ,7.672302,3.070921,4.321296,2.80084,3.711113,1.030309,8.326529,1.208841,1.80054,16.024807,0.970291,1.130339,16.624659,2.981502,0.240072,1.342218,2.970891
Swansea Bay University Health Board ,Neath ,Skewen Medical Centre ,W98010 ,8.726441,2.680031,3.377274,2.157098,3.224752,0.904238,8.260837,1.088442,1.111232,13.890402,0.555616,1.198388,15.621165,0.429185,0.403094,1.184228,2.091731
Swansea Bay University Health Board ,Neath ,Victoria Gardens Surgery ,W98036 ,6.405195,2.712339,2.801477,2.13931,3.540048,0.865911,8.868018,1.26945,1.069655,15.051573,0.458424,1.311601,14.030475,0.34188,0.343818,0.921269,2.190246
Swansea Bay University Health Board ,Neath ,Briton Ferry Health Centre ,W98040 ,7.4424,2.98359,3.414553,2.784684,4.243328,1.14371,9.77122,1.194767,2.204542,16.69153,0.596718,1.309465,19.345125,0.715631,0.464114,1.08903,2.751533
Swansea Bay University Health Board ,Neath ,Tabernacle Surgery ,W98048 ,7.675865,2.059852,1.807229,1.496308,2.565099,0.213758,6.925648,0.729742,0.427517,13.99145,0.466382,0.893898,17.325782,0.373308,0.136028,0.986766,1.457443
Swansea Bay University Health Board ,Neath ,Alfred Street Primary Care Centre ,W98785 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Swansea Bay University Health Board ,Penderi ,,,7.073158,2.212669,2.7243,2.719025,3.391529,0.638219,8.690163,1.331307,1.756422,15.633736,0.698877,1.276439,16.36941,0.683935,0.181972,0.870124,2.326072
Swansea Bay University Health Board ,Penderi ,Cwmfelin Medical Centre ,W98003 ,8.327368,2.266762,3.435934,2.469578,3.233119,0.417561,8.752959,1.302142,1.419709,15.163445,0.72775,1.44357,15.825896,0.318471,0.167025,0.844436,2.278692
